Camadas,Neurônios,Loss Treino,Loss Val,Acur. Val(%),F1 (weighted),Tempo (s)
1,10,0.2303,0.2318,91.34,0.9131,64.1
1,20,0.2294,0.2314,91.66,0.9162,112.8
1,30,0.2251,0.2318,91.5,0.9146,178.9
1,40,0.217,0.2246,91.55,0.9151,167.1
1,50,0.2171,0.2209,92.13,0.921,79.6
1,60,0.2143,0.2208,92.03,0.9199,55.9
1,70,0.2102,0.2196,92.29,0.9225,43.9
1,80,0.2115,0.2203,92.18,0.9215,61.9
1,90,0.2097,0.2186,92.24,0.922,62.6
1,100,0.2075,0.2198,92.39,0.9235,62.5
2,10,0.2301,0.2389,92.13,0.921,70.9
2,20,0.2128,0.2309,91.76,0.9171,75.5
2,30,0.204,0.2211,92.44,0.924,67.5
2,40,0.2028,0.2265,91.92,0.9184,65.1
2,50,0.1928,0.2208,92.5,0.9242,69.0
2,60,0.1894,0.2352,92.03,0.9188,65.1
2,70,0.1904,0.2368,92.24,0.9213,69.3
2,80,0.1891,0.2473,91.61,0.9144,64.4
2,90,0.1888,0.2421,91.76,0.916,58.6
2,100,0.1872,0.2473,91.19,0.9098,62.9
3,10,0.2507,0.2555,90.71,0.9067,61.2
3,20,0.2125,0.2363,91.92,0.9184,64.4
3,30,0.1968,0.2293,91.92,0.9183,66.0
3,40,0.1915,0.2412,91.87,0.9175,68.8
3,50,0.1866,0.2289,91.97,0.9186,72.1
3,60,0.1823,0.2441,92.13,0.9198,67.9
3,70,0.1791,0.2479,92.18,0.9207,59.6
3,80,0.18,0.2438,91.76,0.9166,58.5
3,90,0.1729,0.2374,92.34,0.9224,64.7
3,100,0.1712,0.2614,91.45,0.9132,64.5
